node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
ASHLAN_2_N001,RED,118.46591090686276,0.13733646943447,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.226811577777775,1.4084738958333332,1.4084738958333332,13.226811577777775,720,306547.52955,2.8272423740945056,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:7430_CP6_NG,26% | 16% | 11% | 11% | 4%
PCHCOPP_6_B1,WHITE,106.63775039215687,0.1340153014596368,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.0434071451612908,-2.7158275,-2.7158275,-0.0434071451612908,744,306547.52955,2.0012276094970702,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,17% | 11% | 8% | 7% | 4%
ONEILPMP_7_N001,WHITE,106.63775039215687,0.1340153014596368,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.0434071451612908,-2.7158275,-2.7158275,-0.0434071451612908,744,306547.52955,2.0012276094970702,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,17% | 11% | 8% | 7% | 4%
ONEILPMP_7_N002,WHITE,106.63775039215687,0.1340153014596368,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.0434071451612908,-2.7158275,-2.7158275,-0.0434071451612908,744,306547.52955,2.0012276094970702,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,17% | 11% | 8% | 7% | 4%
ONEILPMP_7_N006,WHITE,106.63775039215687,0.1340153014596368,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.0434071451612908,-2.7158275,-2.7158275,-0.0434071451612908,744,306547.52955,2.0012276094970702,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,17% | 11% | 8% | 7% | 4%
HALSEYF_7_B1,BLUE,46.33260362745099,0.4114580087253811,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.803580430107527,3.2565578427419357,3.2565578427419357,-2.803580430107527,744,306547.52955,1.0361877032271036,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:32220_DTCH FL1_115_32224_CHCGO PK_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1 | NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1,14% | 13% | 13% | 11% | 9%
WISE1_7_B1,BLUE,46.33260362745099,0.4114580087253811,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.803580430107527,3.2565578427419357,3.2565578427419357,-2.803580430107527,744,306547.52955,1.0361877032271036,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:32220_DTCH FL1_115_32224_CHCGO PK_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1 | NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1,14% | 13% | 13% | 11% | 9%
WISE2_7_B1,BLUE,46.33260362745099,0.4114580087253811,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.803580430107527,3.2565578427419357,3.2565578427419357,-2.803580430107527,744,306547.52955,1.0361877032271036,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:32220_DTCH FL1_115_32224_CHCGO PK_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1 | NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1,14% | 13% | 13% | 11% | 9%
TIGRCRK_2_B1,WHITE,46.011576568627454,0.1785099705229258,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.6212506989247313,-0.1511481787634408,-0.1511481787634408,-2.6212506989247313,744,306547.52955,1.0822942511869542,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,22% | 22% | 5% | 5% | 4%
CORRAL1_6_N002,WHITE,46.011576568627454,0.1785099705229258,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.6212506989247313,-0.1511481787634408,-0.1511481787634408,-2.6212506989247313,744,306547.52955,1.0822942511869542,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,22% | 22% | 5% | 5% | 4%
