node,spread_D2,spread_D4,spread_D8
CANAL_7_N001,66.60632774509804,110.50249147058824,171.07107578431376
CANTGEN_7_N002,100.2068999509804,175.95463578431372,259.0690524264706
CANYONP1_7_GN001,30.351406115196077,47.8445550122549,60.05973985294118
CANYONP2_7_GN001,30.351406115196077,47.8445550122549,60.05973985294118
CANYONP3_7_GN001,30.351406115196077,47.8445550122549,60.05973985294118
CANYONP4_7_GN001,30.351406115196077,47.8445550122549,60.05973985294118
CAPSTRNO_1_N016,36.4611800490196,57.70626024509804,78.89821894607843
CAPWIND_1_B1,28.02146022058823,45.925473272058824,54.56721224264706
CARABOU_7_B1,28.657352916666667,49.19051458333333,66.90923757352941
CARABOU_7_B12,20.562564289215686,34.839369375000004,50.6182587254902
CARABOU_7_B3,28.657352916666667,49.19051458333333,66.90923757352941
CARBERRY_2_B1,19.240626666666664,30.016558308823527,42.487590784313724
CARIBOU_1_B1,28.657352916666667,49.19051458333333,66.90923757352941
CARIBOU_2_B1,20.704329583333333,35.21941156862745,50.6182587254902
CARLTNHS_1_GN001,38.500241323529416,62.85081213235294,80.21775232843137
CARLTNHS_1_N011,38.500241323529416,62.85081213235294,80.21775232843137
CARLTNHS_1_N012,38.500241323529416,62.85081213235294,80.21775232843137
CARODEAN_1_N010,27.63675734068628,40.75578629901961,52.87532662990196
CASCES_7_N008,28.088490367647058,45.959829877450986,63.126372242647065
CASCES_7_N009,28.088490367647058,45.959829877450986,63.126372242647065
CASTLSOL_6_UNIT1GNODE,13.756739791666666,20.298686286764706,27.912588125
CATALGEN_7_N001,31.9623168995098,52.164749779411764,64.8919256617647
CATALNA2_7_N001,31.9623168995098,52.164749779411764,64.8919256617647
CATALYST_7_N002,47.08635468137255,66.45230604166667,90.36121622549021
CAVLSRGN_7_B1,39.73873644607843,63.97291835784314,86.55699284313727
CAYETNO_2_N002,33.06977770833333,55.64798986519608,74.22592833333334
CAYETNO_2_N003,33.06977770833333,55.64798986519608,74.22592833333334
CCJCT1_1_B1,30.1686006372549,47.430267083333334,68.88803987745098
CCOSTA_2_B1,30.080805416666664,47.07735484068627,68.97188960784314
CCSUB_1_N001,30.04192536764706,47.430267083333334,68.88803987745098
CCSUB_6_N024,30.04192536764706,47.430267083333334,68.88803987745098
CEDARCRC_1_WIND1GNODE,5.960729240196079,9.096133296568631,10.948395980392156
CEDARSP4_2_WIND1GNODE,15.5413068627451,22.430901470588232,28.391482352941175
CEDARVAS_NODE1,16.555773014705885,26.603793137254904,33.59916781862746
CEDRCRK_6_N001,19.67729895833333,30.93639151960784,45.08487279411764
CENT403_7_N006,30.268636789215684,46.84891648284314,67.25203422794118
CENTANTE_7_N001,30.278980294117652,49.222096029411766,63.720390857843135
CENTERS_2_N036,31.091714558823533,50.03423479166666,61.18881982843137
CENTERS_6_N004,31.091714558823533,50.03423479166666,61.18881982843137
CENTERS_6_N008,31.091714558823533,50.03423479166666,61.18881982843137
CENTERS_6_N009,31.091714558823533,50.03423479166666,61.18881982843137
CENTERS_6_N010,31.091714558823533,50.03423479166666,61.18881982843137
CENTPD_7_N003,24.82891642156863,38.8305093382353,56.96056254901961
CENTPD_7_N004,24.82891642156863,38.8305093382353,56.96056254901961
CENTPD_7_NSR1,24.82891642156863,38.8305093382353,56.96056254901961
CENTPD_7_NSR2,24.82891642156863,38.8305093382353,56.96056254901961
CH.STN._7_N001,41.59854401960784,68.03404067401961,97.16241525735296
CHALAN_7_N001,41.50911911764706,67.35600036764706,92.73893406862746
CHALAN_7_N002,41.50911911764706,67.35600036764706,92.73893406862746
CHARCA_12_ND002,34.18474549019608,57.21835806372549,76.39308531862746
CHARMNGN_7_N001,29.23409764705883,46.17807634803922,55.54692448529413
CHAUTAUQ_GNODE1,16.27678774509804,25.76944549019608,32.59241263480392
CHCARITA_1_N012,38.5938856372549,61.29777291666667,82.30742778186274
CHCGOPK_1_B1,26.556422524509806,44.94599421568628,66.51510029411764
CHEHALIS_NODE1,30.29223263480392,42.169397708333335,56.21641156862745
