node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
BIGCHARL_2_UNIT1GNODE,19.880719828431374,27.688668602941178,34.864639387254904,1862.0,1919.0,1918.0,56.0
BIGCRK1_2_B1,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BIGCRK2_2_B1,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BIGCRK3_2_B1,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BIGCRK4_2_B1,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BIGCRK8_2_B1,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BIGSK230_2_N022,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSK230_2_N023,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSK230_2_N024,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSK230_2_N025,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN1134_7_N026,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN1_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN2_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN3_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN4_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN5_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN6_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIGSKGN7_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BIOMAS_NODEW,25.536543529411766,39.93510963235295,53.88552492647058,1252.0,1212.0,1229.0,23.0
BIOMSJCT_6_B1,157.7353342647059,283.4750316666667,518.5635612990197,56.0,56.0,29.0,27.0
BIOMSJCT_6_GN001,157.7353342647059,283.4750316666667,518.5635612990197,56.0,56.0,29.0,27.0
BKR111_7_N002,46.57749769607843,84.46673590686274,135.82563946078432,573.0,479.0,427.0,146.0
BKRSFLD_2_N001,46.57749769607843,84.46673590686274,135.82563946078432,573.0,479.0,427.0,146.0
BLACKWLL_6_B1,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
BLACKWLL_7_N002,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
BLACKWLL_7_N004,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
BLAST_7_N005,27.561987107843137,40.521039950980395,53.37450343137256,1045.0,1141.0,1265.0,220.0
BLCKBUTT_7_B1,25.91937080882353,44.010103995098035,67.87611732843138,1212.0,1035.0,1005.0,207.0
BLKDIA_7_N001,36.66802549019608,60.48604590686274,92.73428220588235,750.0,776.0,730.0,20.0
BLKDMDBT_7_N002,36.684945612745096,60.41567602941177,92.70001007352941,742.0,778.0,732.0,10.0
BLKDMDBT_7_N004,36.684945612745096,60.41567602941177,92.70001007352941,742.0,778.0,732.0,10.0
BLLEHVN_6_N009,45.29531291666667,76.16261541666667,117.00989041666668,590.0,579.0,537.0,53.0
BLM W_2_COSBT1GN,41.17494264705883,76.03823139705884,110.75323938725492,659.0,580.0,590.0,69.0
BLMWEST_7_N001,41.17494264705883,76.03823139705884,110.75323938725492,659.0,580.0,590.0,69.0
