node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
TEMPLE21_7_N002,RED,112.19819379901962,0.1457767922875487,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.099891322222218,-7.179296861111111,-7.179296861111111,13.099891322222218,720,643361.04575,2.851867051763815,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 11% | 10% | 4%
SNLSOB_1_N023,RED,102.9933936519608,0.1490224137739282,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.43387462777778,-6.734865208333332,-6.734865208333332,12.43387462777778,720,643361.04575,2.650037007344519,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 11% | 10% | 4%
TEMPLETN_2_N008,RED,112.19819379901962,0.1457767922875487,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.099891322222218,-7.179296861111111,-7.179296861111111,13.099891322222218,720,643361.04575,2.851867051763815,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 11% | 10% | 4%
AZALEA_7_N001,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
BLACKWLL_6_B1,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
Q775EQ1_7_N002,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
ISIS_7_N002,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
ISIS_7_N003,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
TULRLK_7_N015,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
CHALAN_7_N001,RED,107.67475078431372,0.1470851765296562,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.989467033333334,-6.982667027777777,-6.982667027777777,12.989467033333334,720,643361.04575,2.78611030828284,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 17% | 10% | 10% | 4%
