node,n_months_active,n_months_blue_or_purple,size_cv,size_median_x12,size_max_share,same_kstar_months,persistence_label
CLOVRDLE_7_N001,10,1,1.7103536343080485,1334084083.7129998,0.5784381493113527,6,10/12 mo · variable
CLRKSVLE_1_N004,10,1,0.9759390066901094,11197199170.152,0.28456900183005474,5,10/12 mo · moderate
CLRMNT_6_N001,10,7,0.4127628123995722,2174881808.688,0.15992942304669358,2,10/12 mo · stable
CMBLND_7_N002,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMBLND_7_N004,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMBLND_7_N006,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMBLND_7_N008,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMBLND_7_N010,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMBLND_7_NBT3,8,0,1.3042922414520333,3405441450.516,0.5132353643705955,3,8/12 mo · variable
CMRRON_7_N001,9,1,0.6476583581562956,1836171078.2400002,0.24378638958825066,3,9/12 mo · moderate
CNTFLT_7_ND002,0,0,,,,0,single month
CNTFLT_7_ND1001,2,0,1.1339536595334019,1941506602.116,0.9009131611036851,1,sporadic (2/12 mo)
CNTFLT_7_ND1002,2,0,1.1339536595334019,1941506602.116,0.9009131611036851,1,sporadic (2/12 mo)
CNTFLT_7_ND2001,2,0,1.1339536595334019,1941506602.116,0.9009131611036851,1,sporadic (2/12 mo)
CNTFLT_7_ND2002,2,0,1.1339536595334019,1941506602.116,0.9009131611036851,1,sporadic (2/12 mo)
CNTFLT_7_ND3001,2,0,1.1339536595334019,1941506602.116,0.9009131611036851,1,sporadic (2/12 mo)
CNTRVL12_7_N002,12,0,1.7098877705932292,2877929803.6259995,0.4993478609448049,3,12/12 mo · variable
COBURN_2_B1,11,0,0.8908489925448196,13371497229.024002,0.25494150407626176,6,11/12 mo · moderate
COGNTNL_7_B1,9,3,0.8731524650235196,18063781157.52,0.2850984659478979,5,9/12 mo · moderate
COID_NODE1,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
COID_NODE2,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
COLCT234_7_N001,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
COLCT334_7_N001,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
COLEMAN_6_B1,10,0,1.2951518072556591,3592153384.488,0.37972530302392377,3,10/12 mo · variable
COLGATE_2_B1,12,2,1.4197695067505838,3255495941.1660004,0.36869427688257217,3,12/12 mo · variable
COLLINS_7_N002,12,0,1.7098877705932292,2877929803.6259995,0.4993478609448049,3,12/12 mo · variable
COLRIVER_2_B1,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
COLRIVER_2_B2,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
COLRSLR_GNODE1,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
COLSTJT_1_B1,10,1,1.4643738940812443,3827921042.8259997,0.48506697434528484,4,10/12 mo · variable
COLSTRIP_5_PACWGNODE,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
COLWATER_1_B2,0,0,,,,1,single month
COLWATER_1_N011,6,1,1.7743487826545072,1019650331.19,0.7604823161650123,3,6/12 mo · variable
COMBINEH_NODET,6,1,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
COMMERCE_GNODE1,6,0,0.6823393323817247,1659090644.6399999,0.3077452768594082,2,6/12 mo · moderate
CONCHO_GNODE1,8,0,0.9929673543202059,2336541913.02,0.40362056428574244,2,8/12 mo · moderate
CONDOR_7_N002,11,1,0.3855128693058413,3054164346.6000004,0.14133850863832995,2,11/12 mo · stable
CONTROLX_1_N003,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROLX_1_N005,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROLX_1_N008,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROLX_1_N009,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROLX_1_N010,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROL_1_B1,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROL_1_N034,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROL_7_B1,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CONTROL_7_N021,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
COPPERMT_6_GN001,11,0,1.1011895694038358,3312625200.6000004,0.38399185265193253,3,11/12 mo · variable
COPPERMT_7_N002,11,0,1.1011895694038358,3312625200.6000004,0.38399185265193253,3,11/12 mo · variable
CORAMA_7_N003,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
CORAMB_7_N003,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
CORCCITY_7_N002,10,2,1.395958382409747,2165624376.726,0.41379463336446487,3,10/12 mo · variable
CORCORAN_7_N001,10,2,1.395958382409747,2165624376.726,0.41379463336446487,3,10/12 mo · variable
CORCRAN2_7_N001,10,2,1.395958382409747,2165624376.726,0.41379463336446487,3,10/12 mo · variable
CORONADO_6_B1,9,5,0.5260715628462077,2513592539.136,0.18299660223285127,2,9/12 mo · moderate
CORRAL1_6_N002,8,3,0.9725979830135266,11197199170.152,0.3585185542452583,4,8/12 mo · moderate
COTATI_6_B1,10,5,1.5753642517459958,1675721325.3930001,0.5403559174402541,7,10/12 mo · variable
COTTLE_7_N002,8,3,0.543523850328783,2628358982.2439995,0.253096617066497,2,8/12 mo · moderate
COTWDPGE_1_N024,10,0,1.2951518072556591,3592153384.488,0.37972530302392377,3,10/12 mo · variable
COVEMOUN_GNODE1,6,0,0.6823393323817247,1659090644.6399999,0.3077452768594082,2,6/12 mo · moderate
COVEMOUN_GNODE2,6,0,0.6823393323817247,1659090644.6399999,0.3077452768594082,2,6/12 mo · moderate
COVERD_7_N002,11,0,1.6106197835641658,2743125425.3519993,0.4431279804346061,3,11/12 mo · variable
COVERD_7_N004,11,0,1.6106197835641658,2743125425.3519993,0.4431279804346061,3,11/12 mo · variable
COVERD_7_N005,11,0,1.6106197835641658,2743125425.3519993,0.4431279804346061,3,11/12 mo · variable
COWCREEK_6_N001,10,0,1.2951518072556591,3592153384.488,0.37972530302392377,3,10/12 mo · variable
CPBORDER_7_N001,9,6,0.5098573273733306,2577208164.384,0.18736183084635982,2,9/12 mo · moderate
CPBORDER_7_N002,9,6,0.5098573273733306,2577208164.384,0.18736183084635982,2,9/12 mo · moderate
CPLECEF_1_B1,11,5,0.8839647480988532,1163879892.672,0.2240120620773131,5,11/12 mo · moderate
