node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
CLRMNT_6_N001,RED,97.34324534313726,0.1324478055698782,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-7.882245483870968,2.5815829771505374,2.5815829771505374,7.882245483870968,744,38790.00832,1.2871323206559684,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,17% | 11% | 10% | 9% | 9%
FOSTERW_7_N004,WHITE,97.39030416666668,0.1161506994950729,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.640343715053762,1.6574060954301075,1.6574060954301075,-12.640343715053762,744,38790.00832,1.386451906275341,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 14% | 12% | 10%
VASCJCT_6_B1,WHITE,98.02605166666666,0.131193436523287,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.021935392473118,1.89728873655914,1.89728873655914,-13.021935392473118,744,38790.00832,1.3907626434436136,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 13% | 12% | 11%
4C687_1_B1,WHITE,94.91690833333334,0.1125006167656511,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.56540243548387,1.4577003494623657,1.4577003494623657,-12.56540243548387,744,38790.00832,1.3833677416406467,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 17% | 14% | 12% | 9%
USWP-FRK_6_N001,WHITE,98.02605166666666,0.131193436523287,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.021935392473118,1.89728873655914,1.89728873655914,-13.021935392473118,744,38790.00832,1.3907626434436136,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 13% | 12% | 11%
BLKDIA_7_N001,WHITE,98.14126666666668,0.1160222206841028,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.649918564516128,1.6588222983870966,1.6588222983870966,-12.649918564516128,744,38790.00832,1.386318950582913,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 14% | 12% | 10%
PITSBRG_2_B1,WHITE,98.14126666666668,0.1160222206841028,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.649918564516128,1.6588222983870966,1.6588222983870966,-12.649918564516128,744,38790.00832,1.386318950582913,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 14% | 12% | 10%
ESHORE_2_B1,WHITE,101.7777125,0.1471180540780204,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.324484489247313,1.8114416801075268,1.8114416801075268,-13.324484489247313,744,38790.00832,1.3886157908916943,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,17% | 15% | 14% | 12% | 12%
Q045CTG2_7_N002,WHITE,101.7777125,0.1471180540780204,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.324484489247313,1.8114416801075268,1.8114416801075268,-13.324484489247313,744,38790.00832,1.3886157908916943,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,17% | 15% | 14% | 12% | 12%
Q045CTG1_7_N002,WHITE,101.7777125,0.1471180540780204,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.324484489247313,1.8114416801075268,1.8114416801075268,-13.324484489247313,744,38790.00832,1.3886157908916943,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,17% | 15% | 14% | 12% | 12%
