constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:30300_TABLMTN _230_30330_RIO OSO _230_BR_1 _1|PG1 TBLMTN 500-230 BK5,3,2754.93124,2754.93124,959.84672,0.0,2754.93124,NOM
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1|PG1 BELL-HIGGNS 115,12,2666.8229,2666.8229,1000.0,0.0,2666.8229,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_1 _1|PG1 GATES-LOSBNS_1 500,41,2635.8785799999996,2635.8785799999996,163.60819,0.0,2635.8785799999996,NOM
ITC:NG XFMR4 A  69KV|I|SD1 NGILA-IVALLY 500,15,2560.0471900000002,2560.0471900000002,394.20182,0.0,2560.0471900000002,ITC
ITC:PACE_POPWEST_ITC|E|Base Case,511,-2541.2735599999996,2541.2735599999996,0.0,-61.04398,2541.2735599999996,ITC
ITC:LDWP_IPP_NORTH|I|Base Case,1319,-2510.7222,2510.7222,0.0,-39.12568,2510.7222,ITC
ITC:LDWP_IPP_NORTH|E|Base Case,452,-2473.48591,2473.48591,0.0,-14.81959,2473.48591,ITC
NOM:24087_MAGUNDEN_230_24401_ANTELOPE_230_BR_1 _1|Base Case,43,2452.5966299999995,2452.5966299999995,109.91388,0.0,2452.5966299999995,NOM
NOM:24386_MESA CAL_500_24392_MESA2I  _13.8_XF_2H|Base Case,8,2191.9220100000002,2191.9220100000002,556.58178,0.0,2191.9220100000002,NOM
NOM:33951_VLYHMTP1_115_33516_RIPON J _115_BR_1 _1|PG1 STANIS-MELONS-MANTEC 115 1,24,2184.9977000000003,2184.9977000000003,200.36013,0.0,2184.9977000000003,NOM
ITC:Midpoint_West|E|Base Case,57,2173.4989800000003,2173.4989800000003,289.81987,0.0,2173.4989800000003,ITC
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1|PG1 GATES-MIDWAY 500,37,2169.9819899999998,2169.9819899999998,164.66937,0.0,2169.9819899999998,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES BUS 1 500,42,2118.13548,2118.13548,115.64121,0.0,2118.13548,NOM
NOM:37650_TESLA TP_115_33574_LLNL    _115_BR_1 _1|PG1 TESLA 230-115 BK3,35,2115.8396000000002,2115.8396000000002,131.34818,0.0,2115.8396000000002,NOM
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1|Base Case,3,2077.66685,2077.66685,903.8898,0.0,2077.66685,NOM
NOM:33950_RVRBK TP_115_33934_TULLOCH _115_BR_1 _1|PG1 BELOTA 230-115 BK2,41,2011.0541400000002,2011.0541400000002,124.73993,0.0,2011.0541400000002,NOM
NOM:32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1|PG1 CORTIN 230-115 BK4,2,2000.0,2000.0,1000.0,0.0,2000.0,NOM
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1|Base Case,47,1929.9942300000002,1929.9942300000002,95.65061,0.0,1929.9942300000002,NOM
