Aggregate PNode ID,PNode ID,DESCRIPTION,abbrev,Plant Code,Plant Name,State,Latitude,Longitude,match_score,second_best,placement
TH_SP15_GEN-APND,CHINO_6_N033,TH_SP15_GEN-APND,CHINO,50850.0,CamChino Leasing LLC,CA,33.989626,-117.680911,5.0,0.0,precise
TH_SP15_GEN-APND,SPRINGEN_7_N004,TH_SP15_GEN-APND,SPRINGEN,56144.0,Springs Generating Station,CA,33.9308,-117.2933,8.0,0.0,precise
TH_SP15_GEN-APND,WESCN2_7_N003,TH_SP15_GEN-APND,WESCN,,,,,,,,unplaced
TH_NP15_GEN-APND,LOWGAP_7_N002,TH_NP15_GEN-APND,LOWGAP,,,,,,,,unplaced
TH_SP15_GEN-APND,PADUA_2_N019,TH_SP15_GEN-APND,PADUA,,,,,,,,unplaced
TH_NP15_GEN-APND,SANRAMON_2_N023,TH_NP15_GEN-APND,SANRAMON,,,,,,,,unplaced
TH_ZP26_GEN-APND,MIDWAY_2_B1,TH_ZP26_GEN-APND,MIDWAY,56639.0,Midway Peaking LLC,CA,36.654114,-120.579727,6.0,0.0,precise
TH_NP15_GEN-APND,CAYETNO_2_N003,TH_NP15_GEN-APND,CAYETNO,,,,,,,,unplaced
TH_ZP26_GEN-APND,DOUBLEC_1_B1,TH_ZP26_GEN-APND,DOUBLEC,50493.0,Double C Generation Limited Partnership,CA,35.5005,-119.046,7.0,0.0,precise
TH_NP15_GEN-APND,TRACY_7_CN2,TH_NP15_GEN-APND,TRACY,55933.0,Tracy Combined Cycle Power Plant,CA,37.7107,-121.4906,5.0,0.0,precise
TH_NP15_GEN-APND,KERCK1G3_7_B1,TH_NP15_GEN-APND,KERCK,,,,,,,,unplaced
TH_SP15_GEN-APND,RSMNDS_7_N009,TH_SP15_GEN-APND,RSMNDS,,,,,,,,unplaced
TH_ZP26_GEN-APND,S621AC_7_N001,TH_ZP26_GEN-APND,S,,,,,,,,unplaced
TH_NP15_GEN-APND,JESSUP_1_GN001,TH_NP15_GEN-APND,JESSUP,,,,,,,,unplaced
TH_ZP26_GEN-APND,CHARCA_12_ND002,TH_ZP26_GEN-APND,CHARCA,,,,,,,,unplaced
TH_SP15_GEN-APND,SANTEE_7_N002,TH_SP15_GEN-APND,SANTEE,,,,,,,,unplaced
TH_SP15_GEN-APND,BIGSKGN4_7_N001,TH_SP15_GEN-APND,BIGSKGN,,,,,,,,unplaced
TH_SP15_GEN-APND,ETIWANDA_6_N022,TH_SP15_GEN-APND,ETIWANDA,745.0,Etiwanda,CA,34.10345,-117.5257,99.0,0.0,precise
TH_NP15_GEN-APND,SHELL2_7_B2,TH_NP15_GEN-APND,SHELL,59826.0,Sunshine Valley Solar,NV,36.518,-116.497,5.0,0.0,precise
TH_SP15_GEN-APND,PEN_2_B1,TH_SP15_GEN-APND,PEN,,,,,,,,unplaced
TH_NP15_GEN-APND,HMBLTBY_6_B1,TH_NP15_GEN-APND,HMBLTBY,,,,,,,,unplaced
TH_NP15_GEN-APND,MERCED_7_N002,TH_NP15_GEN-APND,MERCED,,,,,,,,unplaced
TH_SP15_GEN-APND,SANBRDNO_6_N017,TH_SP15_GEN-APND,SANBRDNO,,,,,,,,unplaced
TH_NP15_GEN-APND,APPLEHL_1_N004,TH_NP15_GEN-APND,APPLEHL,59473.0,Apple Campus 2 PV,CA,37.33,-122.01,5.0,0.0,precise
TH_NP15_GEN-APND,LECEFST1_7_B1,TH_NP15_GEN-APND,LECEFST,,,,,,,,unplaced
TH_SP15_GEN-APND,MRLPKGEN_7_B1,TH_SP15_GEN-APND,MRLPKGEN,,,,,,,,unplaced
TH_NP15_GEN-APND,MILPITAS_1_N001,TH_NP15_GEN-APND,MILPITAS,,,,,,,,unplaced
TH_SP15_GEN-APND,STG1SGN_7_N001,TH_SP15_GEN-APND,STG,,,,,,,,unplaced
TH_SP15_GEN-APND,CENTERS_6_N009,TH_SP15_GEN-APND,CENTERS,57490.0,Imperial Solar Energy Center South,CA,32.663289,-115.658284,7.0,0.0,precise
TH_NP15_GEN-APND,GONZAGA_7_NWD1,TH_NP15_GEN-APND,GONZAGA,,,,,,,,unplaced
TH_SP15_GEN-APND,DSRTSN_7_N002,TH_SP15_GEN-APND,DSRTSN,58542.0,"Desert Sunlight 250, LLC",CA,33.8055,-115.3947,6.0,0.0,precise
TH_SP15_GEN-APND,ATLAS2_6_N022,TH_SP15_GEN-APND,ATLAS,,,,,,,,unplaced
TH_SP15_GEN-APND,ATLAS2_6_N026,TH_SP15_GEN-APND,ATLAS,,,,,,,,unplaced
TH_ZP26_GEN-APND,BPFFD_1_N002,TH_ZP26_GEN-APND,BPFFD,,,,,,,,unplaced
TH_NP15_GEN-APND,GWFCT2_7_B1,TH_NP15_GEN-APND,GWFCT,,,,,,,,unplaced
TH_SP15_GEN-APND,JOANEC_7_NBT3,TH_SP15_GEN-APND,JOANEC,,,,,,,,unplaced
TH_ZP26_GEN-APND,GOSLKPV_7_N001,TH_ZP26_GEN-APND,GOSLKPV,,,,,,,,unplaced
TH_NP15_GEN-APND,CHEVGEN2_7_B1,TH_NP15_GEN-APND,CHEVGEN,,,,,,,,unplaced
TH_SP15_GEN-APND,PSP33S_7_B1,TH_SP15_GEN-APND,PSP,,,,,,,,unplaced
TH_SP15_GEN-APND,PASTSR_7_CN006,TH_SP15_GEN-APND,PASTSR,59607.0,"Maricopa West Solar PV, LLC",CA,35.115278,-119.317778,6.0,0.0,precise
TH_NP15_GEN-APND,SOUTHG_7_B1,TH_NP15_GEN-APND,SOUTHG,64614.0,Kearny South Energy Storage,CA,32.832886,-117.132292,6.0,0.0,precise
TH_ZP26_GEN-APND,C877P2C2_7_ND002,TH_ZP26_GEN-APND,C,,,,,,,,unplaced
TH_SP15_GEN-APND,CHINO_6_N010,TH_SP15_GEN-APND,CHINO,50850.0,CamChino Leasing LLC,CA,33.989626,-117.680911,5.0,0.0,precise
TH_NP15_GEN-APND,ONEILPMP_7_N002,TH_NP15_GEN-APND,ONEILPMP,446.0,ONeill,CA,37.098671,-121.047718,5.0,0.0,precise
TH_NP15_GEN-APND,BALCH3TP_2_B1,TH_NP15_GEN-APND,BALCH,217.0,Balch 1,CA,36.909137,-119.087712,5.0,0.0,precise
TH_NP15_GEN-APND,FROGTOWN_7_N004,TH_NP15_GEN-APND,FROGTOWN,,,,,,,,unplaced
TH_NP15_GEN-APND,MPETAP_1_B1,TH_NP15_GEN-APND,MPETAP,,,,,,,,unplaced
