node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
WARNE1_7_B1,RED,44.62101818627451,0.1190301126434164,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.938859543010754,-1.293847748655914,-1.293847748655914,4.938859543010754,744,66830.51208,0.9612733970176847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:7510-PAR-PAS-OOS_NG,22% | 19% | 9% | 3% | 3%
FRNCHMS_6_B1,WHITE,44.69623705882353,0.2293386968533463,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.1320810215053765,-2.2963904032258062,-2.2963904032258062,-1.1320810215053765,744,66830.51208,0.9700465171799273,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,18% | 12% | 7% | 6% | 6%
FRNCHMS_6_N005,WHITE,44.69623705882353,0.2293386968533463,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.1320810215053765,-2.2963904032258062,-2.2963904032258062,-1.1320810215053765,744,66830.51208,0.9700465171799273,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,18% | 12% | 7% | 6% | 6%
MIDLFORK_2_B1,WHITE,44.69623705882353,0.2293386968533463,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.1320810215053765,-2.2963904032258062,-2.2963904032258062,-1.1320810215053765,744,66830.51208,0.9700465171799273,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,18% | 12% | 7% | 6% | 6%
RALSTON_2_B1,WHITE,44.69623705882353,0.2293386968533463,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.1320810215053765,-2.2963904032258062,-2.2963904032258062,-1.1320810215053765,744,66830.51208,0.9700465171799273,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,18% | 12% | 7% | 6% | 6%
COLGATE_2_B1,WHITE,44.70589029411765,0.249956692628686,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.1186850645161297,-3.840957399193548,-3.840957399193548,-1.1186850645161297,744,66830.51208,0.9806357208281303,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,18% | 12% | 8% | 6% | 6%
PASTSR_7_CN002,RED,44.808983137254906,0.1117891909093391,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.528646456989247,-1.1931529233870968,-1.1931529233870968,4.528646456989247,744,66830.51208,0.9653397480829293,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,22% | 19% | 9% | 3% | 3%
PASTORIA_2_B1,RED,44.808983137254906,0.1117891909093391,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.528646456989247,-1.1931529233870968,-1.1931529233870968,4.528646456989247,744,66830.51208,0.9653397480829293,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,22% | 19% | 9% | 3% | 3%
GRIDLEY_6_N004,WHITE,44.95794946078431,0.2309808068988762,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.2136856559139786,-2.4803333131720424,-2.4803333131720424,-1.2136856559139786,744,66830.51208,0.992498903869331,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1,18% | 11% | 8% | 6% | 6%
MONLTS12_7_N003,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
TEHAPI1_6_N003,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WEBER1_6_N002,WHITE,44.130274166666666,0.1607235904753007,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.7308235107526886,-0.253080248655914,-0.253080248655914,-1.7308235107526886,744,66830.51208,0.9553495662661663,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1 | NOM:33031_COLSTJT _115_33033_KIRKTAP1_115_BR_1 _1,18% | 12% | 7% | 6% | 6%
MONLTS12_7_N006,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
