node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
OBERON_7_N102,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N112,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N122,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N132,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N152,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N162,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N172,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OBERON_7_N182,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
OILFLDS_6_B1,RED,74.2345681127451,0.13947797114287544,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-5.929079662789086,-0.38240374456631904,-0.38240374456631904,5.929079662789086,8759,2.7756816983867467,11,0.8908489925448196,0.2549415040762617,6,11/12 mo · moderate,0.0,,,,
OILFLDS_6_N009,RED,74.2345681127451,0.13947797114287544,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-5.929079662789086,-0.38240374456631904,-0.38240374456631904,5.929079662789086,8759,2.7756816983867467,11,0.8908489925448196,0.2549415040762617,6,11/12 mo · moderate,0.0,,,,
