node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
CLOVRDLE_7_N001,WHITE,104.8463399509804,0.0984983433667204,filled,,NOM:6110_COI_S-N,,unknown,1.7122130773809523,0.6513437648809524,0.6513437648809524,-1.7122130773809523,672,50237.93159,3.1596092455071503,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,30% | 26% | 19% | 9% | 4%
MPETAP_1_B1,WHITE,104.76524776960784,0.0938745610495506,filled,,NOM:6110_COI_S-N,,unknown,1.4662692142857146,0.6885422098214286,0.6885422098214286,-1.4662692142857146,672,50237.93159,3.1589926384208074,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,30% | 26% | 19% | 9% | 4%
MERCED_7_N003,RED,104.35678433823529,0.1014426188361627,filled,,NOM:6110_COI_S-N,,unknown,-13.997727898809522,1.373400424107143,1.373400424107143,13.997727898809522,672,50237.93159,2.83118970868514,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
MERCED_7_N002,RED,104.35678433823529,0.1014426188361627,filled,,NOM:6110_COI_S-N,,unknown,-13.997727898809522,1.373400424107143,1.373400424107143,13.997727898809522,672,50237.93159,2.83118970868514,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
EGLERCK_1_B1,WHITE,104.32427397058824,0.0921972426361249,filled,,NOM:6110_COI_S-N,,unknown,1.5447359761904762,0.7576094642857142,0.7576094642857142,-1.5447359761904762,672,50237.93159,3.1566101861524216,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,30% | 26% | 19% | 8% | 4%
GEYERS56_1_B1,WHITE,104.32427397058824,0.09231957062964,filled,,NOM:6110_COI_S-N,,unknown,1.53638075,0.75084890625,0.75084890625,-1.53638075,672,50237.93159,3.156791731746525,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,30% | 26% | 19% | 8% | 4%
LVNGSTN_7_N001,RED,104.2473142892157,0.101552765785251,filled,,NOM:6110_COI_S-N,,unknown,-13.990953797619047,1.3734003571428572,1.3734003571428572,13.990953797619047,672,50237.93159,2.8313709616255873,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
ELCAPTN_7_N004,RED,104.24236232843135,0.1016097309971254,filled,,NOM:6110_COI_S-N,,unknown,-13.990233851190474,1.3733764211309525,1.3733764211309525,13.990233851190474,672,50237.93159,2.8312277751346433,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
ELCAPTN_1_N008,RED,104.24236232843135,0.1016097309971254,filled,,NOM:6110_COI_S-N,,unknown,-13.990233851190474,1.3733764211309525,1.3733764211309525,13.990233851190474,672,50237.93159,2.8312277751346433,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
CURTISS_1_N103,RED,104.24236232843135,0.1016097309971254,filled,,NOM:6110_COI_S-N,,unknown,-13.990233851190474,1.3733764211309525,1.3733764211309525,13.990233851190474,672,50237.93159,2.8312277751346433,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
