physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:22306_GARFIELD_69.0_22208_EL CAJON_69.0_BR_1 _1,1.0,128.37208,GARFIELD,ELCAJON,69.0,,150.0,voltage proxy 69 kV,0
NOM:7510-PAR-PAS-WAR-OOS_NG,1.0,115.85565,,,,,,unknown,0
ITC:NTR-DRM_1 120,1.0,103.10846,NTR,DRM,,,,unknown,0
ITC:NWMT_AMPS_EAST,2.0,75.66139,NWMT,,,,,unknown,0
NOM:115kv WE_So_El,1.0,66.40307,,,115.0,,250.0,voltage proxy 115 kV,0
ITC:TAR BK E,1.0,52.38917,TAR,,,,,unknown,0
NOM:30495_STAGG   _230_30624_TESLA E _230_BR_1 _1,1.0,42.4134,STAGG,TESLAE,230.0,,700.0,voltage proxy 230 kV,0
ITC:LDWP_IPPDC-NS,1.0,32.97628999999999,LDWP,,,,,unknown,0
ITC:GON-IPP 230,1.0,30.95719,GON,IPP,,,,unknown,0
NOM:33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1,1.0,28.92336,MELNSJB,VLYHMTP1,115.0,,250.0,voltage proxy 115 kV,0
NOM:22496_MISSION _69.0_22532_MURRAY  _69.0_BR_2 _1,1.0,24.46657,MISSION,MURRAY,69.0,,150.0,voltage proxy 69 kV,0
NOM:99002_MOE-ELD _500_24042_ELDORDO _500_BR_1 _2,1.0,10.56539,MOE-ELD,ELDORDO,500.0,,2500.0,voltage proxy 500 kV,0
NOM:34540_HENRITTA_70.0_30881_HENRIETA_230_XF_4,1.0,5.76365,HENRITTA,HENRIETA,230.0,,700.0,voltage proxy 230 kV,0
ITC:IPCO_LAGRANDE_ITC,1.0,1.478,IPCO,,,,,unknown,0
ITC:MERCHANT_ITC,2.0,0.5359999999999999,MERCHANT,,,,,unknown,0
ITC:SUMMIT_ITC,1.0,0.5311999999999999,SUMMIT,,,,,unknown,0
ITC:PARKER_ITC,2.0,0.2559999999999999,PARKER,,,,,unknown,0
ITC:BLYTHE_ITC,2.0,0.15319999999999998,BLYTHE,,,,,unknown,0
ITC:EPE_SNMIC_ITC,1.0,0.0316,EPE,,,,,unknown,0
ITC:LDWP_MCCULLOUG500,1.0,0.0291999999999999,LDWP,,,,,unknown,0
ITC:WALC_NVE_EXPORT_ITC,1.0,0.0208,WALC,,,,,unknown,0
ITC:PALOVRDE_ITC,1.0,0.012,PALOVRDE,,,,,unknown,0
ITC:WALC_NET_IMPORT_ITC,1.0,0.0076,WALC,,,,,unknown,0
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_1 _3,1.0,0.00383,MIDWAY,VINCENT,500.0,Northern -Southern California,4000.0,WECC path 26,6
ITC:WALC_TEP_IMPORT_ITC,1.0,0.0024,WALC,,,,,unknown,0
ITC:LDWP_CRYSTAL500,1.0,0.0016,LDWP,,,,,unknown,0
ITC:WALC_MEAD230_IMPORT_ITC,1.0,0.0012,WALC,,,,,unknown,0
