physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:24303_BIG CRK3_230_24235_RECTOR  _230_BR_1 _1,1.0,54876.81180000001,BIGCRK3,RECTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1,1.0,51575.43009,SANEMDO,OLDRIVR,70.0,,150.0,voltage proxy 70 kV,0
NOM:32214_RIO OSO _115_32244_BRNSWKT2_115_BR_2 _1,5.0,49029.68249,RIOOSO,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P,1.0,46370.596249999995,SUNCREST,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2A _1,4.0,44344.05974,DRUM,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,2.0,38263.87663000001,MIDWAY,VINCENT,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,3.0,35469.474930000004,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:HWD_FAR A REA,1.0,34188.67510000001,HWD,,,,,unknown,0
ITC:NEVP_NET_ITC,2.0,33605.77359000001,NEVP,,,,,unknown,0
NOM:31227_HGHLNDJ2_115_31950_CORTINA _115_BR_1 _1,1.0,32736.31398,HGHLNDJ2,CORTINA,115.0,,250.0,voltage proxy 115 kV,0
NOM:345kv BA-DMND2,1.0,30596.33056,,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,1.0,27962.278209999997,NEENACH,TAP85,66.0,,,voltage 66 kV (no proxy),0
NOM:31656_PALERMO _60.0_31658_BANGOR  _60.0_BR_1 _1,1.0,27682.62779,PALERMO,BANGOR,60.0,,150.0,voltage proxy 60 kV,0
NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,1.0,27406.68011,MIDWAY,WIRLWIND,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:34540_HENRITTA_70.0_30881_HENRIETA_230_XF_4,1.0,27314.185299999997,HENRITTA,HENRIETA,230.0,,700.0,voltage proxy 230 kV,0
NOM:345kV BA-DMND1,1.0,24828.85377,,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:OMS 50004 IV-ML OUTAGE_NG,1.0,24346.83142,,,,,,unknown,0
ITC:SRP_SYSTEM_ITC,2.0,20090.76225,SRP,,,,,unknown,0
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,2.0,19813.5492,HPLNDJT,,115.0,,250.0,voltage proxy 115 kV,0
NOM:7450_CUYAMS_TAFT_70_1,1.0,17683.67917,,,,,,unknown,0
ITC:CZ 345kV,1.0,17387.0489,CZ,,345.0,,1300.0,voltage proxy 345 kV,0
ITC:TEPC_BA_IMP_ITC,1.0,17282.04351,TEPC,,,,,unknown,0
NOM:6110_COI_S-N,1.0,16525.82389,,,,,,unknown,0
NOM:35618_SN JSE A_115_35620_EL PATIO_115_BR_1 _1,5.0,15729.180110000001,SNJSEA,ELPATIO,115.0,,250.0,voltage proxy 115 kV,0
NOM:24087_MAGUNDEN_230_24401_ANTELOPE_230_BR_1 _1,4.0,13524.84055,MAGUNDEN,ANTELOPE,230.0,,700.0,voltage proxy 230 kV,0
ITC:PNM_SRP_ITC,2.0,13435.881909999996,PNM,,,,,unknown,0
NOM:115kv GYTH,2.0,13022.030159999998,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:34418_KINGSBRG_115_34419_WAUKENA _115_BR_1 _1,1.0,12886.439089999998,KINGSBRG,WAUKENA,115.0,,250.0,voltage proxy 115 kV,0
ITC:BPAT_NET_ITC,2.0,12876.7228,BPAT,,,,,unknown,0
ITC:NWMT_AMPS_EAST,2.0,12399.619960000002,NWMT,,,,,unknown,0
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1,1.0,12334.32597,NEWARKD,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_MA-OD_69KV,1.0,11639.97646,MA,OD,69.0,,150.0,voltage proxy 69 kV,0
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1,4.0,11373.731139999998,DRUM,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1,1.0,11264.86543,CONTROL,TAP189,115.0,,250.0,voltage proxy 115 kV,0
NOM:34898_BAKRSFLD_70.0_34902_MAGUNDEN_70.0_BR_1 _1,1.0,10551.2246,BAKRSFLD,MAGUNDEN,70.0,,150.0,voltage proxy 70 kV,0
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,1.0,9805.74551,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:MIGUEL_BKs_MXFLW_NG,1.0,8905.155200000001,,,,,,unknown,0
ITC:IPPDCADLN_ITC,1.0,8788.721870000001,IPPDCADLN,,,,,unknown,0
ITC:EPE_SNMIC_ITC,1.0,8744.130819999998,EPE,,,,,unknown,0
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_2 _1,4.0,8381.5414,MORROBAY,SOLARSS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30705_MONTAVIS_230_30730_HICKS   _230_BR_2 _1,2.0,8061.96411,MONTAVIS,HICKS,230.0,,700.0,voltage proxy 230 kV,0
ITC:ELDORADO_ITC,1.0,7985.975130000001,ELDORADO,,,,,unknown,0
NOM:VC_TL_681B_import_NG,1.0,7925.03051,,,,,,unknown,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,2.0,7888.150030000001,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:34610_HAAS    _13.8_30855_HAAS    _230_XF_1,1.0,7818.429249999999,HAAS,,230.0,,700.0,voltage proxy 230 kV,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,1.0,6852.39176,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:35353_MT VIEW _115_35356_MNTA VSA_115_BR_1 _1,2.0,6583.4017,MTVIEW,MNTAVSA,115.0,,250.0,voltage proxy 115 kV,0
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,2.0,6294.24776,SYCAMORE,PENSQTOS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30460_VACA-DIX_230_30478_LAMBIE  _230_BR_1 _1,1.0,6288.38704,VACA-DIX,LAMBIE,230.0,,700.0,voltage proxy 230 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,1.0,5500.62707,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:24801_DEVERS  _500_24151_VALLEYSC_500_BR_2 _1,2.0,5349.927009999999,DEVERS,VALLEYSC,500.0,,2500.0,voltage proxy 500 kV,0
ITC:EPE_NET_ITC,2.0,5333.300920000001,EPE,,,,,unknown,0
NOM:7410_CP24_NG,1.0,4521.919809999999,,,,,,unknown,0
ITC:LDWP_IPP_NORTH,2.0,4321.13906,LDWP,,,,,unknown,0
NOM:24138_SERRANO _500_24137_SERRANO _230_XF_1 _P,2.0,3410.9640700000004,SERRANO,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:MRHL_STMW_V11712,1.0,3346.04663,MRHL,,,,,unknown,0
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,1.0,3085.7995499999997,EXCHEQUR,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
NOM:31374_GYSRJCT1_60.0_31382_FTCHMTNP_60.0_BR_1 _1,1.0,3057.90506,GYSRJCT1,FTCHMTNP,60.0,,150.0,voltage proxy 60 kV,0
NOM:7820_TL 230S_IV-SX-OUT_NG,1.0,3041.90345,,,,,,unknown,0
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,1.0,2957.62249,VICTOR,ROADWAY,115.0,,250.0,voltage proxy 115 kV,0
NOM:38610_DELTAPMP_230_30580_ALTM MDW_230_BR_1 _1,1.0,2819.04691,DELTAPMP,ALTMMDW,230.0,,700.0,voltage proxy 230 kV,0
NOM:VC_TL_681B_export_NG,1.0,2805.61515,,,,,,unknown,0
NOM:34774_MIDWAY  _115_34225_BELRDG J_115_BR_1 _1,1.0,2765.5304899999996,MIDWAY,BELRDGJ,115.0,,250.0,voltage proxy 115 kV,0
NOM:33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1,1.0,2736.1170500000003,CURTISS,FBERBORD,115.0,,250.0,voltage proxy 115 kV,0
NOM:OMS IV-SX OUTAGE_NG,1.0,2646.45443,,,,,,unknown,0
NOM:33962_SALDO TP_115_33961_TCHRT_T1_115_BR_1 _1,1.0,2637.1801000000005,SALDOTP,,115.0,,250.0,voltage proxy 115 kV,0
NOM:34716_LRDO JCT_115_34718_KERN OIL_115_BR_1 _1,2.0,2630.78647,LRDOJCT,KERNOIL,115.0,,250.0,voltage proxy 115 kV,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1,1.0,2589.51028,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
ITC:XFMR1    230.AIR_WASN,1.0,2262.1643000000004,XFMR1,,,,,unknown,0
NOM:7430_MEN_SNJQJ_HELM_70,1.0,2236.52322,,,,,,unknown,0
NOM:SYLMAR-AC_BG_NG,1.0,2205.1228899999996,,,,,,unknown,0
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,2.0,2191.17475,RIOOSO,BRNSWKT1,115.0,,250.0,voltage proxy 115 kV,0
ITC:MALIN500_ISL,1.0,2040.68358,MALIN500,,,,,unknown,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_2 _P,1.0,2017.19643,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:6110_COI_N-S,1.0,1961.68486,,,,,,unknown,0
NOM:24375_REDBLUFF_230_28195_REDBLUFF_500_XF_2 _P,1.0,1711.17896,REDBLUFF,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:7430_CP6_NG,1.0,1646.1425399999998,,,,,,unknown,0
NOM:30275_CRESTA  _230_30330_RIO OSO _230_BR_1 _1,1.0,1544.86434,CRESTA,RIOOSO,230.0,,700.0,voltage proxy 230 kV,0
NOM:TL687_BREGGO_NAROWS,1.0,1507.54513,,,,,,unknown,0
NOM:24791_TAP710  _115_24731_INYOKERN_115_BR_2 _1,1.0,1505.6476800000005,TAP710,INYOKERN,115.0,,250.0,voltage proxy 115 kV,0
NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,1.0,1449.70078,BRNSWKT1,DTCH2TAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81,1.0,1400.8691700000002,MIGUEL,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:TEPC_BA_EXP_ITC,1.0,1385.3978000000002,TEPC,,,,,unknown,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,1.0,1326.75988,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:7510-PAR-PAS-OOS_NG,1.0,1237.7786,,,,,,unknown,0
NOM:30055_GATES1  _500_30900_GATES   _230_XF_12_P,1.0,1206.34556,GATES1,GATES,500.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:CTW_SHA1,1.0,1017.20285,CTW,,,,,unknown,0
NOM:35122_NWARK EF_115_36851_NORTHERN_115_BR_2 _1,1.0,1000.0,NWARKEF,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,908.99818,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,2.0,731.6036099999999,ULTPWRJ,AIRPROD,115.0,,250.0,voltage proxy 115 kV,0
ITC:PACE_PATHC_ITC,2.0,632.95362,PACE,,,,,unknown,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,601.60155,,,,,,unknown,0
NOM:7820_TL23040_IV_SPS_NG,1.0,589.68239,,,,,,unknown,0
ITC:LADWP_NET_ITC,2.0,542.6690199999999,LADWP,,,,,unknown,0
ITC:CAMPWILL_MERCER_345_2,1.0,506.02741,CAMPWILL,,,,,unknown,0
NOM:30460_VACA-DIX_230_30472_PEABODY _230_BR_1 _1,1.0,457.40973999999994,VACA-DIX,PEABODY,230.0,,700.0,voltage proxy 230 kV,0
NOM:33932_MELONES _115_33500_MELNS JA_115_BR_1 _1,1.0,417.74249,MELONES,MELNSJA,115.0,,250.0,voltage proxy 115 kV,0
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,1.0,400.12966,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
ITC:IPCO_NET_ITC,1.0,379.12384,IPCO,,,,,unknown,0
NOM:34002_SALADO  _60.0_34008_STNSLSRP_60.0_BR_1 _1,1.0,373.06071,SALADO,STNSLSRP,60.0,,150.0,voltage proxy 60 kV,0
ITC:ME-USAF 138,1.0,349.79512,ME,USAF,,,,unknown,0
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,1.0,337.72896000000003,MESACAL,LAGUBELL,230.0,,700.0,voltage proxy 230 kV,0
ITC:PACE_FOURCORNE345_ITC,1.0,291.36204,PACE,,,,,unknown,0
ITC:Line_OC-LSS_230KV,1.0,281.88365999999996,OC,LSS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30735_METCALF _230_30042_METCALF _500_XF_12,1.0,252.77832,METCALF,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:99002_MOE-ELD _500_24042_ELDORDO _500_BR_1 _2,1.0,204.33921,MOE-ELD,ELDORDO,500.0,,2500.0,voltage proxy 500 kV,0
ITC:HA-RE_345KV,1.0,192.25327,HA,RE,345.0,West of Hatwai,4277.0,WECC path 6,2
NOM:35202_USWP-WKR_60.0_33777_SBTAP   _60.0_BR_1 _1,1.0,181.297,USWP-WKR,SBTAP,60.0,,150.0,voltage proxy 60 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,178.23034,WINDSTAR,,,,,unknown,0
NOM:35648_LLAGAS  _115_35650_GILROY F_115_BR_1 _1,1.0,155.93645,LLAGAS,GILROYF,115.0,,250.0,voltage proxy 115 kV,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,1.0,120.82505,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:33541_AEC_TP1 _115_33540_TESLA   _115_BR_1 _1,1.0,120.05642,TESLA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:OMS_17556659_Devers230Bus_NG,1.0,91.19937,,,,,,unknown,0
ITC:SRP_NET_ITC,1.0,75.89528999999999,SRP,,,,,unknown,0
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,1.0,42.4192,OTAY,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
ITC:WECC_Path_41,1.0,40.72526,WECC,,,,,unknown,0
NOM:32218_DRUM    _115_32220_DTCH FL1_115_BR_1 _1,1.0,21.99962,DRUM,DTCHFL1,115.0,,250.0,voltage proxy 115 kV,0
NOM:22884_WARNERS _69.0_22736_SANTYSBL_69.0_BR_1 _1,1.0,19.67354,WARNERS,SANTYSBL,69.0,,150.0,voltage proxy 69 kV,0
NOM:24114_PARDEE  _230_24217_WARNETAP_230_BR_1 _1,1.0,17.27067,PARDEE,WARNETAP,230.0,,700.0,voltage proxy 230 kV,0
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_1 _1,1.0,13.96219,MORROBAY,SOLARSS,230.0,,700.0,voltage proxy 230 kV,0
ITC:TEPC_SPV_VAIL_ITC,1.0,12.94212,TEPC,,,,,unknown,0
ITC:PACE_POPWEST_ITC,1.0,6.47848,PACE,,,,,unknown,0
ITC:LDWP_IPPDC-NS,1.0,6.16386,LDWP,,,,,unknown,0
ITC:IPCO_ID-NW_ITC,1.0,4.52582,IPCO,,,,,unknown,0
NOM:OMS_17677775_Devers230Bus_NG,1.0,1.71501,,,,,,unknown,0
ITC:SUMMIT_ITC,2.0,0.428,SUMMIT,,,,,unknown,0
ITC:NORTHGILA500_ITC,1.0,0.3491999999999999,NORTHGILA500,,,,,unknown,0
ITC:WALC_NET_IMPORT_ITC,1.0,0.3196,WALC,,,,,unknown,0
ITC:LDWP_MCCULLOUG500,1.0,0.1316,LDWP,,,,,unknown,0
ITC:PARKER_ITC,2.0,0.1208,PARKER,,,,,unknown,0
ITC:WALC_NET_EXPORT_ITC,1.0,0.0672,WALC,,,,,unknown,0
ITC:MERCHANT_ITC,1.0,0.0312,MERCHANT,,,,,unknown,0
ITC:WALC_MEAD230_IMPORT_ITC,1.0,0.0076,WALC,,,,,unknown,0
ITC:BLYTHE_ITC,2.0,0.0056,BLYTHE,,,,,unknown,0
