node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
ROSAMOND_6_N030,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
PORTRDGB_7_N008,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
PORTRDGC_7_N009,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
CENTANTE_7_N001,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
OASISC1_7_N013,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
LNCSTR_7_NODE1,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
DAWNLS_7_N001,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
OASISC1_7_N004,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
OASISC1_7_N011,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
OASISC1_7_N012,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
DELSURC2_7_N002,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
DELSURC2_7_N003,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
DELSUR_6_N008,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
TWILGHTL_7_N001,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
OASISC1_7_N010,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
