name,lat,lon,archetype,spread,size,controlling_constraint,rating,rating_source,conc,placed_flag,marker,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,aggregate_hub,abbrev,eia_plant_name,eia_match_score,kstar_contribution,top5_lines,top5_shares
USWP-PAT_1_B1,,,WHITE,38.114604166666666,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1899583010085664,unplaced,filled,2.927546430107527,-2.4947974932795693,-2.4947974932795693,-2.927546430107527,744,TH_NP15_GEN-APND,USWP,,,1.1867296251486037,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,29% | 27% | 6% | 5% | 4%
CLLCTR2A_7_N001,,,WHITE,38.114604166666666,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1899583010085664,unplaced,filled,2.927546430107527,-2.4947974932795693,-2.4947974932795693,-2.927546430107527,744,TH_NP15_GEN-APND,CLLCTR,,,1.1867296251486037,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,29% | 27% | 6% | 5% | 4%
PANOCHE_7_N002,,,RED,192.23946862745095,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1195701912896204,unplaced,filled,-27.3579175483871,-6.727044388440861,-6.727044388440861,27.3579175483871,744,TH_NP15_GEN-APND,PANOCHE,,,5.704407233062304,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,41% | 25% | 9% | 6% | 4%
PANOBS3_7_B1,,,RED,192.23946862745095,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1195701912896204,unplaced,filled,-27.3579175483871,-6.727044388440861,-6.727044388440861,27.3579175483871,744,TH_NP15_GEN-APND,PANOBS,,,5.704407233062304,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,41% | 25% | 9% | 6% | 4%
PANOBS4_7_B1,,,RED,192.23946862745095,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1195701912896204,unplaced,filled,-27.3579175483871,-6.727044388440861,-6.727044388440861,27.3579175483871,744,TH_NP15_GEN-APND,PANOBS,,,5.704407233062304,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,41% | 25% | 9% | 6% | 4%
Q643XC2_7_N002,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,Q,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
LUNAVL_7_ND001,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,LUNAVL,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SCARLT_7_CN1,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
Q1032C2_7_N004,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,Q,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SANLUIS2_7_B3,,,WHITE,154.22282274509806,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1552175617377306,unplaced,filled,31.687336129032253,-0.4155969825268817,-0.4155969825268817,-31.687336129032253,744,TH_NP15_GEN-APND,SANLUIS,,,10.726769015458736,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,67% | 9% | 7% | 3% | 1%
